Key,Median,IQR
perf_task_clock,0.03225806451612903,0.25527903469079943
time,0.037037037037037035,0.013194444444444446
weights,0.05357142857142857,0.2303921568627451
energy,0.05714285714285714,0.7142035652673951
perf_branches,0.12727272727272726,0.22742200328407225
perf_L1_dcache_loads,0.12727272727272726,0.05168408826945414
perf_cache_references,0.15151515151515152,0.24067164179104478
perf_instructions,0.15217391304347827,0.1420335429769392
perf_cycles,0.2564102564102564,0.3209401709401709
perf_time,0.32786885245901637,0.3280818580477506
perf_cpu_clock,0.42857142857142855,0.35507246376811596
perf_faults,0.5079365079365079,0.060815047021943514
perf_branch_misses,0.5211267605633803,0.22740963855421692
perf_cache_misses,0.5689655172413793,0.6209150326797386
