Key,Median,IQR
perf_cycles,0.002785515320334262,0.026731624167875983
perf_cache_misses,0.003424657534246575,0.017556268074940276
perf_cpu_clock,0.004524886877828055,0.1653526062198861
perf_time,0.011278195488721804,0.062310080591887966
perf_faults,0.013071895424836602,0.14777718339996623
perf_cache_references,0.014388489208633094,0.014473881155515643
perf_task_clock,0.015189873417721518,0.014019138755980862
perf_branch_misses,0.02346041055718475,0.047711579480134485
perf_L1_dcache_loads,0.029535864978902954,0.02858245072595918
perf_instructions,0.0718954248366013,0.09422707068127589
energy,0.10472972972972973,0.06457871396895787
time,0.15570934256055363,0.2653883732291158
weights,0.19117647058823528,0.18333333333333335
perf_branches,0.21565731166912852,0.2436363992095635
