Key,Median,IQR
perf_task_clock,0.019834710743801654,0.08467432950191571
weights,0.030927835051546393,0.14458020050125311
perf_cpu_clock,0.03211009174311927,0.08773216031280547
perf_cache_misses,0.06896551724137931,0.03091787439613527
perf_faults,0.10674157303370786,0.08275278180938557
perf_instructions,0.10743801652892562,0.060931174089068826
perf_branches,0.15441176470588236,0.03872091716308869
perf_L1_dcache_loads,0.18705035971223022,0.0723080223080223
perf_time,0.19205298013245034,0.1839526337280523
perf_branch_misses,0.25257731958762886,0.3088115532873663
perf_cycles,0.3333333333333333,0.20023148148148145
time,0.34210526315789475,0.3023812577487068
perf_cache_references,0.3669064748201439,0.23004951215960392
energy,0.47381546134663344,0.35272011453113816
